place_id	name	stored	anchor	types
ChIJhaIxXaNbw4gRTOeKz2fPVpI	Epiphany Cathedral	attractions	false	tourist_attraction,church,place_of_worship,association_or_organization,point_of_interest,establishment
ChIJ20jLb_mpxIgRi2jWAGt75Ec	Lemon Bay Boat Rental	beach	false	marina,sports_club,school,educational_institution,association_or_organization,tour_agency,travel_agency,point_of_interest,service,establishment
ChIJkRLfQ7Jbw4gRUT18UhQFowA	Venice Sail & Power Squadron a unit of Americas Boating Club	beach	false	marina,school,educational_institution,sports_club,association_or_organization,service,point_of_interest,establishment
ChIJw5GR_mev3IgR71o87IQ58xQ	Keys Huka Dive	shopping	false	sports_coaching,sporting_goods_store,tour_agency,travel_agency,bar,school,educational_institution,point_of_interest,service,store,establishment
ChIJ_Qs8ILtqw4gR0HMP1EcG1B8	Sarasota Sailing Squadron	beach	false	marina,sports_club,sports_school,association_or_organization,point_of_interest,service,establishment
ChIJWaZHn75qw4gR-H0nesdVwDA	Sarasota Ski A Rees	beach	false	marina,sports_coaching,sporting_goods_store,sports_club,school,educational_institution,store,association_or_organization,point_of_interest,service,establishment
ChIJy45YJUsQw4gRP3zP1dHJrKY	St Bernard Catholic Church	attractions	false	tourist_attraction,church,place_of_worship,association_or_organization,point_of_interest,establishment
ChIJMRTNjIQUw4gRir8zytEqJt0	St Mary Star of the Sea Church	attractions	false	tourist_attraction,church,place_of_worship,association_or_organization,point_of_interest,establishment
ChIJ_3f3eLUzw4gR2wVGSHGN5_k	WILDCORE Yoga	attractions	false	yoga_studio,wellness_center,tourist_attraction,fitness_center,sports_school,sports_complex,gym,spa,sports_activity_location,event_venue,health,point_of_interest,establishment
