place_id	name	stored	lat	lng
ChIJcX87JKWt3IgRLci5Ik1YAcU	Waffle House	food	27.0726048	-82.2084051
ChIJVeSEIgCKR4gRAUs3NiSzCeU	Waffle House	food	27.0726077	-82.2083981
ChIJIQVwwWlJw4gRcwzSIib5frM	Sarasota, FL / Ranch Setting / Siesta Key Beach / City - County of Sarasota	hotels	27.2692852	-82.3164902
ChIJM7B6wWlJw4gRdn5TRz-3CQ4	Sarasota, FL / Ranch Setting / Siesta Key Beach / City - County of Sarasota	hotels	27.2692795	-82.3164902
ChIJY1hRAqY2w4gRWB6sBy0_MWc	Private Estate on 10 Acres w/ Pool in Bradenton	hotels	27.4192734	-82.3067169
ChIJY1hRAqY2w4gRs3TudPikDDE	Private Estate on 10 Acres w/ Pool in Bradenton	hotels	27.4192734	-82.3067169
ChIJcdh4TLQzw4gRoM2RBn0hMgc	NEW-Lakefront /on 5 acres /near Lakewood Ranch / Pool / Pet Friendly	hotels	27.4721584	-82.2771454
ChIJcdh4TLQzw4gRTO5z42t5Trg	NEW-Lakefront /on 5 acres /near Lakewood Ranch / Pool / Pet Friendly	hotels	27.4721584	-82.2771454
