place_id	name	category	why	reviews	primary_type
ChIJY0A6bmFRw4gRpQbpW1Kdk6Y	Ramblers Rest Resort	hotels	ambiguous_rental (has reviews — may be a real inn)	61	lodging
ChIJiw4_qgZTw4gRT3UvMqwQkLU	Mineral Springs Vacation Rentals	hotels	ambiguous_rental (has reviews — may be a real inn)	14	lodging
ChIJt4XIE7FDw4gRyBCnBYGVSWY	Pelican Cove Condominium	hotels	ambiguous_rental (has reviews — may be a real inn)	6	lodging
ChIJRwBEx4NTw4gRNgXg5lilbPc	North Port Garden Home: Florida Room, Lanai!	hotels	ambiguous_rental (has reviews — may be a real inn)	1	cottage
ChIJV88hOOxAw4gROgsZGg13mkA	Pinecraft Amish Community	hotels	ambiguous_rental (has reviews — may be a real inn)	226	lodging
ChIJdyooiJVLw4gRgY7ezx4dZWM	HuntnFL	hotels	ambiguous_rental (has reviews — may be a real inn)	25	lodging
ChIJb3OEPBtLw4gRBx430YX6ItI	hesselgrave	hotels	ambiguous_rental (has reviews — may be a real inn)	1	private_guest_room
