place_id	name	category	reason	reviews	primary_type
ChIJSUkeHWk0w4gRi-t5of5Y_Xw	Marvelous 3-bedroom Recreation Vehicle in Myakka City-Delivery Available	hotels	short_term_rental	0	lodging
ChIJiUmUHGk0w4gR6Fa5hllUI_4	2026 Unique Resort-Style Stay on Wheels!! Sleeps 2-4 We deliver & Set Up!	hotels	short_term_rental	0	lodging
ChIJwReTmyQ0w4gRJmVf1_VyGts	(NEW) The Guesthouse (near Lakewood Ranch)	hotels	short_term_rental	0	lodging
ChIJZ9m87eMzw4gR2PMwniSZ5nY	Country Home Horse Lovers Paradise	hotels	short_term_rental	0	lodging
ChIJGdxqnk40w4gRQXdoAR4ThK8	Charming 3-bedroom house in Serene Myakka City near Freedom Factory Terranova	hotels	short_term_rental	0	lodging
ChIJaxdUAqY2w4gRHjX97AMoOko	Private Estate on 10 Acres w / Pool in Bradenton	hotels	short_term_rental	0	lodging
ChIJaxdUAqY2w4gRH_n1mKZ1y5k	Private Estate on 10 Acres with Pool in Bradenton - Vacation Home	hotels	short_term_rental	0	lodging
ChIJY1hRAqY2w4gRWB6sBy0_MWc	Private Estate on 10 Acres w/ Pool in Bradenton	hotels	short_term_rental	0	lodging
ChIJY1hRAqY2w4gRs3TudPikDDE	Private Estate on 10 Acres w/ Pool in Bradenton	hotels	short_term_rental	0	lodging
ChIJJT5Cxqw2w4gRNXdI8cxinBY	“GLAMPING”on 10 acres…10minutes to Lakewood Ranch and close to Sarasota scenes.	hotels	short_term_rental	0	lodging
ChIJZ9Y5hug7w4gRT4Ht6l9L21U	Trial Store USA	shopping	service_or_trade	21	auto_parts_store
ChIJS9trGaOXj6cRh6GcXg3V-9Q	Wood Creative Carpentry	shopping	service_or_trade	37	manufacturer
ChIJVzNRTzoxw4gRjiJ9yJ_zbKA	Kitchen Remodeling Seo	shopping	service_or_trade	0	general_contractor
ChIJY8X17qAxw4gR8kM5ZO3OsFI	VL Proconstruction LLC	shopping	service_or_trade	38	general_contractor
ChIJlxhVE2I3w4gR77F8GpLqIHY	Zazzzy	shopping	service_or_trade	0	
ChIJEbK_wJ4Xw4gRRZsLjrvJLWY	Tropic Isles Co-Op, Inc.	hotels	residential_or_parking	162	mobile_home_park
ChIJLSCXKHcjw4gRAr3pXqHJPVY	Shadow Brook	hotels	residential_or_parking	7	mobile_home_park
ChIJI6sAmu4kw4gR5vMEnsC2AS8	The Gardens 55+ Lifestyle Community	hotels	residential_or_parking	172	service
ChIJdVapFDkjw4gRXU-xM02DDD8	Covered Bridge Estates	hotels	service_or_trade	105	association_or_organization
ChIJdfMVpqUlw4gRdStpuZ5lUsM	Veranda Springs Mobile Home Park	hotels	residential_or_parking	40	mobile_home_park
ChIJ6WsFqrQ8w4gRyGj69jd_Vy4	Ridgewood Estates	hotels	residential_or_parking	47	mobile_home_park
ChIJM7GyrFAjw4gRjYS7KY20BQ4	Terra Siesta Co-Op	hotels	residential_or_parking	63	mobile_home_park
ChIJcdh4TLQzw4gRoM2RBn0hMgc	NEW-Lakefront /on 5 acres /near Lakewood Ranch / Pool / Pet Friendly	hotels	short_term_rental	0	lodging
ChIJcdh4TLQzw4gRTO5z42t5Trg	NEW-Lakefront /on 5 acres /near Lakewood Ranch / Pool / Pet Friendly	hotels	short_term_rental	0	lodging
ChIJFwKESrQzw4gRHpNz-1J6Auo	New-Lakewood Ranch / Private Cottage & Pool/ Boat Guide for Lake boating	hotels	short_term_rental	0	lodging
ChIJXaFHQCMww4gRiAo06B2VcZM	Serene 4-bedroom house with AC in charming Parrish	hotels	short_term_rental	0	lodging
