pick,placeId,source,outcome,reason,needsPermissionFrom
Swim with the manatees in Kings Bay,,commons,photographed,,
"Three Sisters Springs, from the water",,commons,photographed,,
"Three Sisters Springs boardwalk, stay dry",,commons-search,gap,no-verified-source,"U.S. Fish and Wildlife Service, Crystal River National Wildlife Refuge (public agency)"
A manatee eco-cruise for non-swimmers,,none,gap,not-a-place,
Paddle Kings Bay by clear kayak,,none,gap,not-a-place,
Homosassa Springs Wildlife State Park,,commons,photographed,,
The summer counterpart: bay scalloping,,none,gap,not-a-place,
