pick,placeId,source,outcome,reason,needsPermissionFrom
"(hero)",,commons,used,,
"Original Word of Mouth",ChIJSZyKtGVaw4gRkKUbiPqvOVI,,gap,google-only,"Original Word of Mouth"
"Ophelia's on the Bay",ChIJs8HMPKxDw4gR8rXHdqdvpmE,,gap,google-only,"Ophelia's on the Bay"
"Gulf Drive Cafe",ChIJJWCbj5kRw4gRYkZ7QJ-L91s,,gap,google-only,"Gulf Drive Cafe"
"Yoder's Restaurant",ChIJIwZqEutAw4gR-1cOUgiln24,,gap,google-only,"Yoder's Restaurant"
"Columbia Restaurant",ChIJaTQEjpFqw4gRnHJU2Klfw0o,,gap,google-only,"Columbia Restaurant, St. Armands Circle"
"Fins At Sharky's",ChIJf5M5VmBZw4gRVHX-dcX1dBk,commons,used,,
