pick,placeId,source,outcome,reason,needsPermissionFrom
"Why are lovebugs suddenly everywhere?",,,gap,not-a-place,
"What time of day are lovebugs worst?",,,gap,not-a-place,
"Why do lovebugs cover cars?",,,gap,not-a-place,
"Do lovebugs really destroy car paint?",,,gap,not-a-place,
"Are lovebugs dangerous?",,,gap,not-a-place,
"No, the University of Florida did not create them",,,gap,not-a-place,
"The Wayfind move: change the plan, not the whole day",,,gap,not-a-place,
"Can Wayfind tell me where lovebugs are worst right now?",,,gap,not-a-place,
